Linkage_Group	Linkage-Position	Marker_ID	Scaffold_ID	Marker_Pos	Genetic_distance	Marker_type	Gene	GeneStart	GeneEnd
Pm1	6511807	mheter_108115	scaffold648	438587	36.205	<lmxll>	Pm001036	6511148	6513957
Pm1	6551342	mheter_113499	scaffold911	19269	37.556	<lmxll>	Pm001040	6551255	6563578
Pm1	6727825	mheter_115577	scaffold911	195752	38.666	<lmxll>	None	None	None
Pm1	6764538	mheter_114095	scaffold147	1095817	39.002	<lmxll>	None	None	None
Pm1	6904599	mheter_116316	scaffold147	955756	39.982	<lmxll>	None	None	None
Pm1	7349226	mheter_111407	scaffold147	511129	41.263	<lmxll>	Pm001130	7348647	7350144
Pm1	7645577	hk_hk1091	scaffold147	214778	43.087	<hkxhk>	None	None	None
Pm1	7824358	mheter_116281	scaffold147	35997	42.399	<lmxll>	None	None	None
Pm1	7904252	mheter_108546	scaffold58	992617	42.739	<lmxll>	None	None	None
Pm1	8018784	hk_hk1442	scaffold58	878085	44.252	<hkxhk>	None	None	None
Pm1	8283839	hk_hk1170	scaffold58	613030	44.782	<hkxhk>	None	None	None
Pm1	8684856	mheter_106982	scaffold58	212013	44.126	<lmxll>	Pm001283	8683980	8684958
Pm1	8853332	mheter_116452	scaffold58	43537	45.592	<lmxll>	None	None	None
Pm1	8966712	mheter_107337	scaffold559	270215	44.729	<lmxll>	Pm001312	8966344	8968278
Pm1	9035743	mheter_116167	scaffold559	201184	44.526	<lmxll>	Pm001320	9035119	9039024
Pm1	9108701	mheter_114840	scaffold559	128226	45.298	<lmxll>	None	None	None
Pm1	9268335	mheter_114701	scaffold199	31310	45.828	<lmxll>	None	None	None
Pm1	9548333	fheter_101688	scaffold199	311308	46.927	<nnxnp>	None	None	None
Pm1	9646626	mheter_116948	scaffold192	424642	46.871	<lmxll>	None	None	None
Pm1	9836517	mheter_106605	scaffold192	234751	47.169	<lmxll>	None	None	None
Pm1	10005558	fheter_107606	scaffold192	65710	48.287	<nnxnp>	None	None	None
Pm1	10085567	mheter_112504	scaffold568	2296	48.293	<lmxll>	None	None	None
Pm1	10117167	hk_hk2796	scaffold1255	19149	48.568	<hkxhk>	None	None	None
Pm1	10150959	fheter_103414	scaffold846	14545	48.748	<nnxnp>	None	None	None
Pm1	10221025	mheter_116519	scaffold846	84611	47.81	<lmxll>	None	None	None
Pm1	10267564	hk_hk2769	scaffold846	131150	48.887	<hkxhk>	None	None	None
Pm1	10279156	fheter_104425	scaffold845	44994	49.028	<nnxnp>	None	None	None
Pm1	10319172	fheter_99585	scaffold845	4978	45.751	<nnxnp>	None	None	None
Pm1	10329159	fheter_107150	scaffold1249	20817	49.267	<nnxnp>	None	None	None
Pm1	10333752	hk_hk120	scaffold1249	16224	46.379	<hkxhk>	None	None	None
Pm1	10380660	fheter_106763	scaffold1308	35061	49.77	<nnxnp>	None	None	None
Pm1	10381516	fheter_102885	scaffold1308	34205	49.88	<nnxnp>	None	None	None
Pm1	10442946	mheter_115393	scaffold154	144145	50.191	<lmxll>	Pm001473	10442742	10447456
Pm1	10572845	fheter_100459	scaffold154	14246	50.297	<nnxnp>	None	None	None
Pm1	10584896	fheter_104801	scaffold154	2195	51.141	<nnxnp>	None	None	None
Pm1	10609041	mheter_113528	scaffold583	25613	47.442	<lmxll>	None	None	None
Pm1	10614292	fheter_106203	scaffold583	20362	50.593	<nnxnp>	Pm001491	10610277	10616818
Pm1	10637898	fheter_107284	scaffold446	3146	50.69	<nnxnp>	None	None	None
Pm1	10721483	fheter_104130	scaffold446	86731	50.881	<nnxnp>	Pm001502	10719067	10721717
Pm1	10852785	fheter_100498	scaffold107	24640	51.06	<nnxnp>	None	None	None
Pm1	11019702	fheter_105903	scaffold107	191557	51.505	<nnxnp>	None	None	None
Pm1	11051068	hk_hk941	scaffold228	584058	51.308	<hkxhk>	Pm001528	11045365	11051324
Pm1	11147554	fheter_106578	scaffold228	487572	51.878	<nnxnp>	None	None	None
Pm1	11477446	fheter_100723	scaffold228	157680	52.296	<nnxnp>	Pm001574	11458193	11478956
Pm1	11593973	fheter_100118	scaffold228	41153	52.755	<nnxnp>	None	None	None
Pm1	11651404	fheter_100046	scaffold774	93049	53.068	<nnxnp>	None	None	None
Pm1	11688798	hk_hk767	scaffold774	55655	52.087	<hkxhk>	Pm001597	11679124	11689509
Pm1	11751677	mheter_110347	scaffold187	7126	51.805	<lmxll>	None	None	None
Pm1	12065801	fheter_104579	scaffold187	321250	53.32	<nnxnp>	Pm001647	12059205	12068243
Pm1	12290991	fheter_102933	scaffold187	546440	55.682	<nnxnp>	Pm001666	12290798	12302568
Pm1	12352069	fheter_103909	scaffold187	607518	54.857	<nnxnp>	None	None	None
Pm1	12450740	fheter_108800	scaffold470	103204	55.041	<nnxnp>	None	None	None
Pm1	12534634	mheter_109667	scaffold470	19310	54.197	<lmxll>	None	None	None
Pm1	12567685	fheter_104501	scaffold183	58534	55.375	<nnxnp>	None	None	None
Pm1	12585849	fheter_104292	scaffold183	40370	55.826	<nnxnp>	None	None	None
Pm1	12685254	mheter_116821	scaffold131	58937	54.783	<lmxll>	None	None	None
Pm1	12946878	mheter_109388	scaffold131	320561	55.722	<lmxll>	None	None	None
Pm1	13094593	hk_hk630	scaffold131	468276	55.96	<hkxhk>	Pm001741	13090414	13101094
Pm1	13151308	fheter_100549	scaffold185	205265	56.145	<nnxnp>	None	None	None
Pm1	13334690	fheter_99950	scaffold185	21883	55.291	<nnxnp>	None	None	None
Pm1	13375695	mheter_110631	scaffold149	178741	56.192	<lmxll>	None	None	None
Pm1	13542522	fheter_107710	scaffold149	11914	55.492	<nnxnp>	None	None	None
Pm1	13578351	fheter_99120	scaffold540	23817	56.486	<nnxnp>	None	None	None
Pm1	13590547	fheter_107066	scaffold540	36013	56.655	<nnxnp>	None	None	None
Pm1	13730759	mheter_108137	scaffold246	274091	56.656	<lmxll>	None	None	None
Pm1	13851464	hk_hk2569	scaffold246	153386	57.01	<hkxhk>	Pm001813	13837699	13859863
Pm1	13960202	hk_hk520	scaffold246	44648	57.48	<hkxhk>	Pm001823	13957660	13960749
Pm1	14012124	fheter_103201	scaffold1461	21244	57.102	<nnxnp>	None	None	None
Pm1	14081062	fheter_100444	scaffold676	90637	57.201	<nnxnp>	None	None	None
Pm1	14142311	fheter_105784	scaffold676	29388	56.293	<nnxnp>	None	None	None
Pm1	14176659	fheter_102359	scaffold687	22839	57.369	<nnxnp>	None	None	None
Pm1	14234607	mheter_114353	scaffold363	133042	57.378	<lmxll>	None	None	None
Pm1	14396558	hk_hk943	scaffold79	475122	57.655	<hkxhk>	None	None	None
Pm1	14460013	fheter_109378	scaffold79	411667	55.786	<nnxnp>	None	None	None
Pm1	14832969	fheter_104305	scaffold79	38711	53.858	<nnxnp>	None	None	None
Pm1	14833265	fheter_105937	scaffold79	38415	54.209	<nnxnp>	None	None	None
Pm1	14905204	fheter_103847	scaffold418	79609	57.725	<nnxnp>	Pm001916	14904971	14907423
Pm1	14986649	mheter_112757	scaffold479	61026	60.582	<lmxll>	Pm001926	14986299	14988415
Pm1	14986688	fheter_103089	scaffold479	60987	58.335	<nnxnp>	Pm001926	14986299	14988415
Pm1	15048954	fheter_105404	scaffold536	48573	58.571	<nnxnp>	None	None	None
Pm1	15064468	fheter_101050	scaffold536	33059	59.313	<nnxnp>	None	None	None
Pm1	15117766	mheter_107899	scaffold879	2023	59.391	<lmxll>	None	None	None
Pm1	15119996	hk_hk2951	scaffold1096	41105	59.517	<hkxhk>	None	None	None
Pm1	15134278	fheter_108491	scaffold1096	26823	56.879	<nnxnp>	Pm001938	15132859	15142656
Pm1	15167441	mheter_115478	scaffold37	62105	59.584	<lmxll>	None	None	None
Pm1	15210911	hk_hk1622	scaffold37	18635	58.119	<hkxhk>	None	None	None
Pm1	15246060	mheter_112034	scaffold1299	17445	59.666	<lmxll>	Pm001951	15243643	15247860
Pm1	15277485	mheter_112559	scaffold626	53743	61.761	<lmxll>	None	None	None
Pm1	15280114	fheter_103504	scaffold626	51114	59.719	<nnxnp>	None	None	None
Pm1	15348400	fheter_107110	scaffold203	571328	60.058	<nnxnp>	None	None	None
Pm1	15378425	mheter_112644	scaffold203	541303	62.123	<lmxll>	None	None	None
Pm1	15744912	fheter_108946	scaffold203	174816	60.823	<nnxnp>	Pm002007	15737778	15746720
Pm1	15913530	fheter_110060	scaffold203	6198	61.301	<nnxnp>	None	None	None
Pm1	15932885	mheter_111884	scaffold750	102875	60.884	<lmxll>	Pm002034	15932693	15936507
Pm1	15978593	hk_hk696	scaffold750	57167	61.603	<hkxhk>	None	None	None
Pm1	16032064	fheter_103180	scaffold750	3696	57.873	<nnxnp>	None	None	None
Pm1	16044018	fheter_103527	scaffold78	303534	58.077	<nnxnp>	None	None	None
Pm1	16054166	mheter_112610	scaffold78	293386	62.446	<lmxll>	None	None	None
Pm1	16424360	mheter_108164	scaffold474	448025	63.154	<lmxll>	None	None	None
Pm1	16778275	hk_hk2162	scaffold474	94110	63.694	<hkxhk>	None	None	None
Pm1	16810777	mheter_109451	scaffold474	61608	64.446	<lmxll>	None	None	None
Pm1	16907794	fheter_99580	scaffold367	35311	63.283	<nnxnp>	None	None	None
Pm1	16921488	fheter_109142	scaffold367	49005	62.607	<nnxnp>	None	None	None
Pm1	17164402	fheter_103450	scaffold367	291919	64.116	<nnxnp>	Pm002165	17159129	17166425
Pm1	17372936	fheter_101200	scaffold367	500453	64.805	<nnxnp>	None	None	None
Pm1	17593365	mheter_107173	scaffold519	4627	67.982	<lmxll>	None	None	None
Pm1	17664244	hk_hk429	scaffold899	5940	68.437	<hkxhk>	None	None	None
Pm1	17700387	mheter_107791	scaffold68	30105	65.622	<lmxll>	Pm002205	17698051	17701433
Pm1	17801720	fheter_99391	scaffold68	131438	65.288	<nnxnp>	None	None	None
Pm1	18261668	hk_hk666	scaffold68	591386	66.594	<hkxhk>	None	None	None
Pm1	18468830	fheter_100146	scaffold68	798548	66.292	<nnxnp>	None	None	None
Pm1	18635499	mheter_108459	scaffold68	965217	67.358	<lmxll>	None	None	None
Pm1	18699909	fheter_98517	scaffold68	1029627	68.766	<nnxnp>	None	None	None
Pm1	18758750	fheter_103265	scaffold391	381	67.364	<nnxnp>	None	None	None
Pm1	18844683	mheter_106334	scaffold391	86314	69.066	<lmxll>	None	None	None
Pm1	18979576	mheter_112387	scaffold391	221207	69.834	<lmxll>	None	None	None
Pm1	18986752	mheter_116761	scaffold11	316194	72.898	<lmxll>	Pm002363	18986465	18986944
Pm1	19067228	fheter_106616	scaffold11	235718	67.547	<nnxnp>	None	None	None
Pm1	19186030	mheter_111107	scaffold11	116916	70.668	<lmxll>	None	None	None
Pm1	19292278	hk_hk1471	scaffold11	10668	69.64	<hkxhk>	None	None	None
Pm1	19306923	mheter_109755	scaffold227	562741	72.235	<lmxll>	None	None	None
Pm1	19345480	fheter_102570	scaffold227	524184	69.89	<nnxnp>	None	None	None
Pm1	19599337	hk_hk2665	scaffold227	270327	71.152	<hkxhk>	None	None	None
Pm1	19839130	mheter_117593	scaffold227	30534	71.522	<lmxll>	None	None	None
Pm1	19860026	fheter_106431	scaffold227	9638	70.833	<nnxnp>	None	None	None
Pm1	19896180	mheter_115895	scaffold1279	26418	75.22	<lmxll>	Pm002494	19894876	19896780
Pm1	20012732	fheter_108265	scaffold1279	142970	72.451	<nnxnp>	None	None	None
Pm1	20050153	fheter_99354	scaffold1279	180391	73.419	<nnxnp>	None	None	None
Pm1	20072263	fheter_105871	scaffold130	2707	82.767	<nnxnp>	None	None	None
Pm1	20170079	hk_hk2331	scaffold130	100523	82.382	<hkxhk>	None	None	None
Pm1	20322698	fheter_108210	scaffold130	253142	80.34	<nnxnp>	Pm002576	20321583	20323554
Pm1	20788292	hk_hk962	scaffold130	718736	78.766	<hkxhk>	None	None	None
Pm1	21114345	fheter_101832	scaffold130	1044789	76.954	<nnxnp>	Pm002714	21111617	21115160
Pm1	21458205	fheter_110337	scaffold130	1388649	75.766	<nnxnp>	None	None	None
Pm1	21735805	mheter_111364	scaffold130	1666249	76.291	<lmxll>	Pm002831	21735443	21737440
Pm1	21771426	fheter_108031	scaffold130	1701870	74.206	<nnxnp>	Pm002841	21769582	21771649
Pm1	21779470	fheter_105979	scaffold86	623063	88.385	<nnxnp>	None	None	None
Pm1	21889521	fheter_107835	scaffold86	513012	85.906	<nnxnp>	Pm002869	21889223	21892630
Pm1	22164373	fheter_104243	scaffold86	238160	85.016	<nnxnp>	Pm002913	22164004	22168153
Pm1	22395790	hk_hk1046	scaffold86	6743	81.659	<hkxhk>	None	None	None
Pm1	22426428	fheter_99073	scaffold190	665803	95.581	<nnxnp>	None	None	None
Pm1	22477860	fheter_103673	scaffold190	614371	92.444	<nnxnp>	Pm002968	22473414	22479277
Pm1	22607269	mheter_107243	scaffold190	484962	85.135	<lmxll>	None	None	None
Pm1	22921693	mheter_113839	scaffold190	170538	84.802	<lmxll>	None	None	None
Pm1	23077990	hk_hk2106	scaffold190	14241	84.564	<hkxhk>	None	None	None
Pm1	23118594	mheter_109087	scaffold241	26265	87.958	<lmxll>	Pm003091	23117513	23119040
Pm1	23350525	hk_hk2945	scaffold241	258196	92.006	<hkxhk>	Pm003139	23348787	23351302
Pm1	23707674	fheter_103340	scaffold241	615345	97.304	<nnxnp>	None	None	None
Pm1	24027369	mheter_109934	scaffold241	935040	85.832	<lmxll>	None	None	None
Pm1	24205868	fheter_99176	scaffold241	1113539	93.562	<nnxnp>	Pm003281	24204004	24206702
Pm1	24268400	fheter_103497	scaffold831	43432	100.269	<nnxnp>	None	None	None
Pm1	24335158	hk_hk524	scaffold831	110190	96.794	<hkxhk>	Pm003299	24335117	24339592
Pm1	24420459	fheter_106224	scaffold831	195491	98.655	<nnxnp>	Pm003318	24418811	24423380
Pm1	24455950	mheter_111459	scaffold831	230982	87.042	<lmxll>	None	None	None
Pm1	24521365	mheter_110199	scaffold278	795137	93.275	<lmxll>	Pm003335	24520359	24522728
Pm1	24555529	mheter_105962	scaffold278	760973	94.163	<lmxll>	Pm003343	24554244	24557466
Pm1	24759698	hk_hk804	scaffold278	556804	94.599	<hkxhk>	None	None	None
Pm1	24962801	mheter_116913	scaffold278	353701	89.425	<lmxll>	None	None	None
Pm1	25254064	mheter_115513	scaffold278	62438	90.836	<lmxll>	None	None	None
Pm1	25306768	fheter_98316	scaffold278	9734	108.281	<nnxnp>	None	None	None
Pm1	25333497	mheter_111637	scaffold500	1419529	90.158	<lmxll>	None	None	None
Pm1	25558100	mheter_110595	scaffold500	1194926	91.565	<lmxll>	None	None	None
Pm1	25760912	mheter_114806	scaffold500	992114	90.737	<lmxll>	None	None	None
Pm1	26115497	mheter_111007	scaffold500	637529	92.683	<lmxll>	Pm003647	26100150	26116616
Pm1	26467629	mheter_112710	scaffold500	285397	95.244	<lmxll>	None	None	None
Pm1	26736325	hk_hk2733	scaffold500	16701	99.2	<hkxhk>	None	None	None
Pm2	17409	fheter_102541	scaffold381	17409	3.603	<nnxnp>	None	None	None
Pm2	70797	fheter_106626	scaffold381	70797	4.657	<nnxnp>	None	None	None
Pm2	502290	hk_hk2929	scaffold66	246404	7.056	<hkxhk>	Pm003822	498740	505202
Pm2	542149	mheter_115614	scaffold66	286263	10.034	<lmxll>	None	None	None
Pm2	1182503	hk_hk698	scaffold66	926617	8.492	<hkxhk>	None	None	None
Pm2	1340050	mheter_108888	scaffold34	27921	11.462	<lmxll>	Pm003943	1335418	1342685
Pm2	1397418	fheter_99774	scaffold34	85289	0	<nnxnp>	Pm003948	1395523	1398149
Pm2	2673682	mheter_113736	scaffold34	1361553	15.239	<lmxll>	Pm004135	2670640	2675176
Pm2	3025013	hk_hk918	scaffold320	113735	14.34	<hkxhk>	Pm004175	3022996	3026256
Pm2	3104556	mheter_114453	scaffold320	193278	14.81	<lmxll>	Pm004187	3103403	3105683
Pm2	3153003	hk_hk1791	scaffold12	629604	18.836	<hkxhk>	Pm004194	3152240	3153453
Pm2	3582685	mheter_110604	scaffold12	199922	15.686	<lmxll>	None	None	None
Pm2	3606227	mheter_114893	scaffold12	176380	13.859	<lmxll>	Pm004261	3604285	3607286
Pm2	3804214	mheter_110450	scaffold273	556315	16.456	<lmxll>	Pm004292	3803746	3807121
Pm2	4060023	mheter_111805	scaffold273	300506	13.189	<lmxll>	None	None	None
Pm2	4097491	mheter_110766	scaffold273	263038	18.38	<lmxll>	None	None	None
Pm2	4441654	mheter_114063	scaffold94	599309	17.947	<lmxll>	Pm004371	4441581	4443185
Pm2	4677825	mheter_108847	scaffold94	363138	19.213	<lmxll>	None	None	None
Pm2	5005268	mheter_111515	scaffold94	35695	20.607	<lmxll>	None	None	None
Pm2	5118492	mheter_111872	scaffold220	585023	21.696	<lmxll>	None	None	None
Pm2	5598724	hk_hk995	scaffold220	104791	21.177	<hkxhk>	Pm004526	5590839	5601411
Pm2	5674281	mheter_108154	scaffold220	29234	20.135	<lmxll>	Pm004537	5674100	5677348
Pm2	5710391	mheter_109133	scaffold824	215570	23.071	<lmxll>	Pm004544	5710358	5711171
Pm2	5813930	mheter_116443	scaffold824	112031	22.413	<lmxll>	Pm004564	5812947	5814149
Pm2	5979365	mheter_110409	scaffold276	53306	31.905	<lmxll>	Pm004596	5974882	5986533
Pm2	6491594	mheter_110207	scaffold276	565535	29.463	<lmxll>	None	None	None
Pm2	7435822	mheter_112046	scaffold276	1509763	24.489	<lmxll>	None	None	None
Pm2	7584922	mheter_109521	scaffold276	1658863	23.655	<lmxll>	None	None	None
Pm2	7648642	mheter_115339	scaffold683	4930	26.356	<lmxll>	Pm004858	7647874	7648833
Pm2	7662040	mheter_114107	scaffold683	18328	26.049	<lmxll>	Pm004861	7660909	7662302
Pm2	7710360	mheter_108805	scaffold683	66648	26.828	<lmxll>	None	None	None
Pm2	7783975	mheter_108142	scaffold434	124241	33.585	<lmxll>	None	None	None
Pm2	7823052	mheter_112024	scaffold434	85164	31.178	<lmxll>	Pm004885	7820944	7825697
Pm2	7923147	mheter_111159	scaffold489	146574	31.575	<lmxll>	None	None	None
Pm2	8189102	mheter_106426	scaffold98	587462	37.002	<lmxll>	None	None	None
Pm2	8341372	mheter_117997	scaffold98	435192	35.543	<lmxll>	Pm004958	8338423	8341728
Pm2	8735458	mheter_114401	scaffold98	41106	32.595	<lmxll>	None	None	None
Pm2	8893963	mheter_113002	scaffold827	117301	39.344	<lmxll>	None	None	None
Pm2	9105665	mheter_115479	scaffold827	329003	42.112	<lmxll>	Pm005087	9105128	9107963
Pm2	9315875	mheter_106606	scaffold638	88996	40.554	<lmxll>	Pm005121	9314289	9317618
Pm2	9498927	mheter_108714	scaffold638	272048	44.59	<lmxll>	None	None	None
Pm2	9556627	mheter_107602	scaffold638	329748	43.419	<lmxll>	Pm005161	9555449	9557189
Pm2	9700658	mheter_117077	scaffold555	278042	47.407	<lmxll>	Pm005184	9700176	9702731
Pm2	9700714	mheter_111443	scaffold555	277986	46.658	<lmxll>	Pm005184	9700176	9702731
Pm2	9958253	mheter_110968	scaffold555	20447	47.022	<lmxll>	None	None	None
Pm2	10044781	mheter_117411	scaffold341	825478	46.025	<lmxll>	Pm005248	10044269	10048536
Pm2	10078757	mheter_115573	scaffold341	791502	46.389	<lmxll>	None	None	None
Pm2	11313587	mheter_115875	scaffold752	443230	50.939	<lmxll>	Pm005491	11308376	11314258
Pm2	11506998	mheter_107555	scaffold752	636641	51.288	<lmxll>	None	None	None
Pm2	11615107	mheter_109086	scaffold752	744750	49.579	<lmxll>	Pm005549	11613325	11616685
Pm2	11704188	mheter_114229	scaffold281	1727361	51.553	<lmxll>	Pm005571	11703598	11704652
Pm2	12328033	mheter_111001	scaffold281	1103516	51.817	<lmxll>	None	None	None
Pm2	12682520	mheter_106112	scaffold281	749029	52.414	<lmxll>	None	None	None
Pm2	13304628	mheter_112871	scaffold281	126921	53.588	<lmxll>	None	None	None
Pm2	13426386	hk_hk738	scaffold281	5163	50.128	<hkxhk>	None	None	None
Pm2	13435252	mheter_116843	scaffold139	3605	63.185	<lmxll>	Pm005870	13434155	13436133
Pm2	14106049	mheter_114246	scaffold139	674402	61.302	<lmxll>	Pm005987	14104550	14107242
Pm2	14863050	hk_hk1287	scaffold139	1431403	56.029	<hkxhk>	None	None	None
Pm2	15204903	mheter_113174	scaffold139	1773256	57.039	<lmxll>	None	None	None
Pm2	15818018	mheter_116543	scaffold139	2386371	55.008	<lmxll>	None	None	None
Pm2	15870948	mheter_109081	scaffold139	2439301	54.11	<lmxll>	None	None	None
Pm2	15979067	mheter_111456	scaffold55	20516	60.717	<lmxll>	None	None	None
Pm2	16023417	mheter_107563	scaffold55	64866	61.994	<lmxll>	None	None	None
Pm2	16160016	mheter_110500	scaffold55	201465	64.013	<lmxll>	None	None	None
Pm2	16219896	mheter_118200	scaffold142	72901	63.688	<lmxll>	None	None	None
Pm2	16273196	mheter_109820	scaffold142	19601	59.938	<lmxll>	None	None	None
Pm2	16339765	mheter_110603	scaffold1055	134107	70.822	<lmxll>	None	None	None
Pm2	16463737	hk_hk107	scaffold1055	10135	64.971	<hkxhk>	None	None	None
Pm2	16534081	mheter_109155	scaffold462	28621	66.155	<lmxll>	Pm006378	16534060	16534554
Pm2	16628769	mheter_111831	scaffold28	1351344	66.924	<lmxll>	None	None	None
Pm2	16689333	mheter_109867	scaffold28	1290780	66.575	<lmxll>	Pm006405	16688686	16690332
Pm2	17008713	hk_hk789	scaffold28	971400	67.24	<hkxhk>	Pm006469	17006525	17008894
Pm2	17707216	mheter_107467	scaffold28	272897	68.2	<lmxll>	Pm006581	17705704	17708801
Pm2	17990611	fheter_102565	scaffold69	10400	58.307	<nnxnp>	None	None	None
Pm2	18219416	mheter_106807	scaffold69	239205	69.117	<lmxll>	None	None	None
Pm2	18252915	mheter_114361	scaffold236	30562	70.309	<lmxll>	None	None	None
Pm2	18437434	mheter_111133	scaffold236	215081	70.503	<lmxll>	None	None	None
Pm2	18583996	mheter_111397	scaffold236	361643	71.308	<lmxll>	None	None	None
Pm2	18761784	mheter_111140	scaffold171	786611	71.797	<lmxll>	Pm006738	18760327	18763347
Pm2	19019824	mheter_114673	scaffold171	528571	72.001	<lmxll>	Pm006776	19019570	19021619
Pm2	19528791	mheter_107651	scaffold171	19604	72.666	<lmxll>	Pm006846	19527267	19528814
Pm2	19647238	mheter_108048	scaffold163	675781	74.319	<lmxll>	None	None	None
Pm2	19800329	mheter_111512	scaffold163	522690	74.388	<lmxll>	None	None	None
Pm2	20290119	mheter_110328	scaffold163	32900	73.91	<lmxll>	None	None	None
Pm2	20410263	mheter_105761	scaffold486	162436	73.228	<lmxll>	None	None	None
Pm2	20617955	mheter_115387	scaffold598	50386	74.597	<lmxll>	None	None	None
Pm2	20714216	mheter_114682	scaffold396	45777	74.889	<lmxll>	None	None	None
Pm2	21006161	mheter_106019	scaffold396	337722	75.271	<lmxll>	None	None	None
Pm2	21203201	fheter_101836	scaffold396	534762	75.764	<nnxnp>	None	None	None
Pm2	21292137	mheter_113107	scaffold206	75478	76.352	<lmxll>	None	None	None
